codebase,area
A6425-0157-00,53003.0203931733
A6432-0118-00,43733.4595815186
A6426-0081-00,5166.92434668015
A6425-0155-00,90808.5236106202
A6426-0122-00,39041.3782469227
A6431-0106-00,156406.799776688
A6425-0184-00,137206.569065305
A6426-0118-00,9520.11351251133
A6431-0120-00,288749.302131475
A6423-0003-00,343728.434681158
A6430-0123-00,141223.005942746
A6426-0121-00,11864.9894504568
A6426-0155-00,6651.27950776662
A6425-0191-00,4494.71784506609
A6425-0193-00,27042.1700450838
A6423-0017-00,262208.988605234
A6426-0158-00,7612.51480615071
A6425-0212-00,93211.8186200195
A6425-0216-00,33519.1073402692
A6425-0221-00,115218.132274837
A6422-0012-00,559458.950985422
A6431-0142-00,171826.01821894
A6426-0181-00,86954.6978306485
A6423-0018-00,23196.9701502734
A6426-0176-00,13761.2734828485
A6426-0211-00,681975.817338359
A6423-0039-00,103304.102693678
A6423-0040-00,104138.783370285
A6423-0041-00,103287.759988905
A6423-0032-00,15002.3550337152
A6423-0031-00,17085.5574789453
A6424-0005-00,113723.522142046
A6430-0187-00,73212.4092166395
A6425-0248-00,4729.61464597866
A6423-0062-00,134006.906787465
A6425-0254-00,75754.7713874577
A6425-0252-00,27915.2925579187
A6431-0169-00,141430.33943232
A6431-0178-00,186925.305335727
A6423-0064-00,172029.295151272
A6423-0059-00,89121.8265602825
A6426-0214-00,128630.353816939
A6425-0274-00,29725.0032829713
A6431-0192-00,272011.301339758
A6424-0012-00,224125.690475817
A6430-0213-00,19984.1523175925
A6430-0222-00,37860.3886719655
A6423-0088-00,167497.70246506
A6425-0276-00,22606.5209312106
A6430-0252-00,35093.0718254335
A6423-0119-00,6797.98352392593
A6431-0218-00,205262.069834723
A6430-0261-00,74867.2676705188
A6430-0267-00,192167.857837246
A6422-0029-00,80351.4549185098
A6423-0121-00,9002.91887183161
A6431-0240-00,206916.047781861
A6423-0189-00,193689.506887297
A6424-0038-00,30141.4673197543
A6431-0231-00,23215.4447412141
A6424-0043-00,95931.1434854142
A6423-0169-00,8299.569031958
A6430-0033-00,217961.57290135
A6430-0035-00,256142.192328572
A6430-0036-00,141010.494368023
A6435-0169-00,157276.800879317
A6435-0206-00,122922.03104606
A6435-0201-00,104756.673232953
A6435-0223-00,110689.127011245
A6430-0056-00,44997.9870935003
A6435-0230-00,170404.622074264
A6434-0167-00,480500.377196389
A6430-0060-00,218936.579462093
A6431-0018-00,104701.487854867
A6435-0262-00,152012.51352845
A6435-0249-00,12402.2983021995
A6435-0255-00,111857.146293246
A6426-0001-00,223324.812641818
A6426-0017-00,15941.9428071597
A6435-0284-00,130062.269255409
A6426-0015-00,3687.98243362736
A6435-0282-00,290443.898945165
A6425-0006-00,14363.268127335
A6435-0292-00,91910.6839289331
A6431-0053-00,135689.375286201
A6425-0028-00,59399.2948769338
A6426-0048-00,5672.48998706196
A6426-0046-00,5865.06770151478
A6431-0061-00,376658.988786675
A6425-0084-00,5705.1285290068
A6426-0069-00,105179.887007157
A6425-0087-00,10143.9323695175
A6425-0086-00,6919.63209037188
A6425-0085-00,12729.6552135623
A6426-0066-00,31324.5489294874
A6431-0069-00,196212.583772711
A6426-0071-00,164559.875517087
A6425-0088-00,9573.82581383317
A6435-0303-00,189929.015340043
A6425-0089-00,4725.37269401517
A6425-0145-00,5481.80632913112
A6426-0090-00,13210.0461192201
A6430-0119-00,404387.324614745
